Facility|MS-DRG |Expected  Payment
GGH|289|14,779.60
GGH|290|9,135.85
GGH|291|12,073.45
GGH|292|8,326.55
GGH|293|6,197.36
GGH|294|11,444.56
GGH|295|5,531.04
GGH|296|13,984.77
GGH|297|6,773.49
GGH|298|4,903.02
GGH|299|12,957.63
GGH|300|9,365.60
GGH|301|6,797.32
GGH|302|10,001.28
GGH|303|6,370.98
GGH|304|9,909.39
GGH|305|6,845.82
GGH|306|12,658.07
GGH|307|8,128.26
GGH|308|10,728.05
GGH|309|7,056.88
GGH|310|5,380.42
GGH|311|6,450.12
GGH|312|7,570.01
GGH|313|6,707.95
GGH|314|17,891.67
GGH|315|8,878.84
GGH|316|6,936.88
GGH|319|35,517.38
GGH|320|20,599.53
GGH|326|45,472.26
GGH|327|22,515.95
GGH|328|14,023.93
GGH|329|42,380.62
GGH|330|22,123.65
GGH|331|14,995.75
GGH|332|30,336.54
GGH|333|19,880.43
GGH|334|13,728.63
GGH|335|35,044.23
GGH|336|19,905.96
GGH|337|14,574.52
GGH|338|25,385.48
GGH|339|15,224.66
GGH|340|11,151.84
GGH|341|22,390.01
GGH|342|14,324.32
GGH|343|10,420.83
GGH|344|26,108.82
GGH|345|14,520.05
GGH|346|11,536.49
GGH|347|23,056.33
GGH|348|12,613.84
GGH|349|8,968.18
GGH|350|21,379.04
GGH|351|13,030.81
GGH|352|9,784.29
GGH|353|25,868.86
GGH|354|15,275.72
GGH|355|12,299.81
GGH|356|35,317.38
GGH|357|19,771.51
GGH|358|12,293.86
GGH|368|16,820.27
GGH|369|9,667.71
GGH|370|6,980.28
GGH|371|15,304.66
GGH|372|9,322.20
GGH|373|6,933.47
GGH|374|17,619.36
GGH|375|10,894.83
GGH|376|9,141.80
GGH|377|15,682.50
GGH|378|9,029.46
GGH|379|6,115.67
GGH|380|16,684.11
GGH|381|9,783.44
GGH|382|7,355.57
GGH|383|11,907.51
GGH|384|8,026.14
GGH|385|14,324.32
GGH|386|9,004.77
GGH|387|6,583.72
GGH|388|13,599.28
GGH|389|7,766.59
GGH|390|5,553.17
GGH|391|11,130.55
GGH|392|7,101.12
GGH|393|14,445.16
GGH|394|8,603.98
GGH|395|6,189.71
GGH|405|46,805.75
GGH|406|24,371.11
GGH|407|18,375.03
GGH|408|30,946.71
GGH|409|20,991.83
GGH|410|14,747.28
GGH|411|33,217.15
GGH|412|20,848.88
GGH|413|14,383.90
GGH|414|29,694.05
GGH|415|18,080.59
GGH|416|12,111.76
GGH|417|21,135.63
GGH|418|14,823.00
GGH|419|11,741.57
GGH|420|29,850.63
GGH|421|16,289.25
GGH|422|12,572.97
GGH|423|36,687.49
GGH|424|19,780.02
GGH|425|13,058.05
GGH|432|16,137.78
GGH|433|9,403.05
GGH|434|6,066.32
GGH|435|15,062.98
GGH|436|10,200.43
GGH|437|8,091.65
GGH|438|14,562.61
GGH|439|7,830.43
GGH|440|5,859.53
GGH|441|16,368.39
GGH|442|8,563.98
GGH|443|6,410.12
GGH|444|14,458.78
GGH|445|9,764.72
GGH|446|7,536.83
GGH|453|80,673.46
GGH|454|52,743.95
GGH|455|41,581.52
GGH|456|77,900.92
GGH|457|56,048.36
GGH|458|40,565.44
GGH|459|58,930.67
GGH|460|34,323.45
GGH|461|46,393.88
GGH|462|27,311.28
GGH|463|45,108.89
GGH|464|25,748.01
GGH|465|16,919.00
GGH|466|44,013.67
GGH|467|30,508.45
GGH|468|24,551.53
GGH|469|27,341.07
GGH|470|17,371.71
GGH|471|43,122.67
GGH|472|26,503.69
GGH|473|22,001.11
GGH|474|33,595.84
GGH|475|18,500.12
GGH|476|10,532.30
GGH|477|28,323.11
GGH|478|20,339.12
GGH|479|15,787.17
GGH|480|26,307.97
GGH|481|18,387.81
GGH|482|14,622.18
GGH|483|20,977.35
GGH|485|28,524.80
GGH|486|18,922.22
GGH|487|14,297.95
GGH|488|17,378.53
GGH|489|11,334.80
GGH|492|29,939.98
GGH|493|20,210.62
GGH|494|16,035.65
GGH|495|29,831.92
GGH|496|17,985.29
GGH|497|13,124.42
GGH|498|21,453.93
GGH|499|10,414.89
GGH|500|26,279.88
GGH|501|14,900.44
GGH|502|11,859.86
GGH|503|23,738.82
GGH|504|15,398.27
GGH|505|14,930.23
GGH|506|12,012.18
GGH|507|18,491.62
GGH|508|13,882.67
GGH|509|12,464.05
GGH|510|24,346.43
GGH|511|16,655.19
GGH|512|13,503.10
GGH|513|14,041.78
GGH|514|9,699.18
GGH|515|27,461.06
GGH|516|17,122.36
GGH|517|12,664.89
GGH|518|29,627.68
GGH|519|16,863.68
GGH|520|12,007.09
GGH|533|13,040.18
GGH|534|7,239.83
GGH|535|11,063.33
GGH|536|7,075.59
GGH|537|8,372.50
GGH|538|6,756.47
GGH|539|16,663.70
GGH|540|11,683.70
GGH|541|8,336.75
GGH|542|16,149.70
GGH|543|9,609.85
GGH|544|7,074.75
GGH|545|22,133.86
GGH|546|10,861.66
GGH|547|7,514.69
GGH|548|17,498.51
GGH|549|10,773.99
GGH|550|7,973.39
GGH|551|14,146.46
GGH|552|8,381.01
GGH|553|11,560.32
GGH|554|7,319.82
GGH|555|11,813.90
GGH|556|7,358.97
GGH|557|13,029.97
GGH|558|7,951.26
GGH|559|15,953.95
GGH|560|9,500.91
GGH|561|6,981.13
GGH|562|12,084.51
GGH|563|7,888.28
GGH|564|13,487.81
GGH|565|8,964.78
GGH|566|7,068.79
GGH|570|25,071.46
GGH|571|14,851.94
GGH|572|10,166.40
GGH|573|45,853.50
GGH|574|27,187.04
GGH|575|15,572.71
GGH|576|41,887.04
GGH|577|21,177.33
GGH|578|14,469.85
GGH|579|26,032.25
GGH|580|14,310.71
GGH|581|11,299.05
GGH|582|14,055.42
GGH|583|13,057.20
GGH|584|16,180.33
GGH|585|15,064.69
GGH|592|15,805.05
GGH|593|10,388.49
GGH|594|7,511.30
GGH|595|17,918.06
GGH|596|8,910.33
GGH|597|15,027.24
GGH|598|9,884.72
GGH|599|6,538.61
GGH|600|8,783.51
GGH|601|5,886.77
GGH|602|12,788.27
GGH|603|7,798.94
GGH|604|13,083.58
GGH|605|8,072.96
GGH|606|13,347.39
GGH|607|7,650.86
GGH|614|21,327.96
GGH|615|13,250.38
GGH|616|34,667.22
GGH|617|18,077.19
GGH|618|11,296.51
GGH|619|26,818.56
GGH|620|15,892.69
GGH|621|13,998.39
GGH|622|32,749.95
GGH|623|17,237.26
GGH|624|9,998.73
GGH|625|25,513.14
GGH|626|14,941.30
GGH|627|10,336.59
GGH|628|32,016.39
GGH|629|20,387.62
GGH|630|12,949.96
GGH|637|12,413.00
GGH|638|8,144.43
GGH|639|5,839.10
GGH|640|10,953.56
GGH|641|7,059.42
GGH|642|10,967.16
GGH|643|14,453.67
GGH|644|9,369.86
GGH|645|7,132.60
GGH|652|29,425.99
GGH|653|47,735.89
GGH|654|24,552.36
GGH|655|18,171.65
GGH|656|28,368.21
GGH|657|17,080.67
GGH|658|13,980.52
GGH|659|23,425.66
GGH|660|12,710.86
GGH|661|9,897.47
GGH|662|27,552.10
GGH|663|13,584.82
GGH|664|10,037.89
GGH|665|25,882.45
GGH|666|15,675.69
GGH|667|8,609.07
GGH|668|24,348.98
GGH|669|13,774.59
GGH|670|8,949.48
GGH|671|16,173.53
GGH|672|9,413.25
GGH|673|31,040.32
GGH|674|21,420.73
GGH|675|14,508.99
GGH|682|13,198.47
GGH|683|8,256.77
GGH|684|5,856.98
GGH|686|15,565.07
GGH|687|9,578.35
GGH|688|7,184.52
GGH|689|10,140.01
GGH|690|7,350.47
GGH|693|12,137.29
GGH|694|6,921.56
GGH|695|10,596.98
GGH|696|6,402.46
GGH|697|8,908.62
GGH|698|14,394.94
GGH|699|9,409.00
GGH|700|6,932.62
GGH|707|16,533.51
GGH|708|12,977.20
GGH|709|21,092.25
GGH|710|13,690.34
GGH|711|18,859.24
GGH|712|9,302.63
GGH|713|13,062.30
GGH|714|8,410.78
GGH|715|18,802.23
GGH|716|13,092.09
GGH|717|15,634.84
GGH|718|10,997.79
GGH|722|15,980.36
GGH|723|10,044.69
GGH|724|5,645.08
GGH|725|11,304.15
GGH|726|7,128.36
GGH|727|12,767.00
GGH|728|7,450.03
GGH|729|9,759.63
GGH|730|5,995.68
GGH|734|19,273.68
GGH|735|12,315.13
GGH|736|37,391.26
GGH|737|17,530.86
GGH|738|12,355.13
GGH|739|32,486.15
GGH|740|15,810.16
GGH|741|11,934.73
GGH|742|14,998.31
GGH|743|10,394.46
GGH|744|15,432.30
GGH|745|9,686.45
GGH|746|14,500.48
GGH|747|8,553.75
GGH|748|11,868.36
GGH|749|22,680.19
GGH|750|11,949.20
GGH|754|15,614.41
GGH|755|9,333.27
GGH|756|8,082.32
GGH|757|12,707.45
GGH|758|8,836.29
GGH|759|6,239.92
GGH|760|8,301.02
GGH|761|5,432.32
GGH|768|9,194.56
GGH|769|12,900.62
GGH|770|7,312.16
GGH|776|6,662.01
GGH|779|10,337.43
GGH|783|18,872.88
GGH|784|9,515.36
GGH|785|7,925.73
GGH|786|15,211.05
GGH|787|9,517.94
GGH|788|8,332.51
GGH|789|15,002.56
GGH|790|48,046.50
GGH|791|33,011.22
GGH|792|20,163.80
GGH|793|33,891.97
GGH|794|12,396.83
GGH|795|2,214.74
GGH|796|17,404.90
GGH|797|7,963.17
GGH|798|7,963.17
GGH|799|42,696.33
GGH|800|24,805.96
GGH|801|16,561.58
GGH|802|27,447.43
GGH|803|15,782.07
GGH|804|12,216.42
GGH|805|9,477.09
GGH|806|6,656.05
GGH|807|5,954.84
GGH|808|18,743.51
GGH|809|10,968.02
GGH|810|8,580.99
GGH|811|12,026.66
GGH|812|8,030.41
GGH|813|14,110.73
GGH|814|15,505.49
GGH|815|9,239.66
GGH|816|6,713.08
GGH|817|22,033.43
GGH|818|11,461.59
GGH|819|7,410.86
GGH|820|49,269.37
GGH|821|19,617.48
GGH|822|11,380.74
GGH|823|36,619.43
GGH|824|20,407.19
GGH|825|12,147.48
GGH|826|43,297.98
GGH|827|20,331.46
GGH|828|14,672.37
GGH|829|27,341.07
GGH|830|12,354.28
GGH|831|9,798.75
GGH|832|6,709.67
GGH|833|5,148.94
GGH|834|50,339.91
GGH|835|17,880.61
GGH|836|11,833.47
GGH|837|51,601.93
GGH|838|19,239.65
GGH|839|11,481.16
GGH|840|27,811.65
GGH|841|14,336.23
GGH|842|10,378.29
GGH|843|16,856.01
GGH|844|10,900.80
GGH|845|7,989.55
GGH|846|22,972.94
